t,X_obs,Y_obs,Z_obs,X_true,Y_true,Z_true
0.0,8.359226540065379,0.5690093051101455,4.484471279667497,5.0,5.0,5.0
0.001,4.982263957033848,3.7560704651838006,3.2323388663230177,5.0005479008563904,5.109919630299507,5.011926673704436
0.002,4.413504094300473,0.049803622332785125,3.0868152270076474,5.00218332392313,5.219693586602209,5.024375745344853
0.003,2.0423015921301433,4.446070850529728,4.659353827970802,5.004894110388575,5.329344193041502,5.03735108805618
0.004,5.634779619474962,5.918366086865258,3.933077577815956,5.008668442624648,5.438893411292687,5.050856965213669
0.005,5.764183192789089,2.482378291770733,2.962698532895263,5.013494836966267,5.548362844696835,5.064898024229983
0.006,2.8600469406219715,0.9221026260861418,3.9642722929523355,5.0193621380423314,5.657773739659277,5.0794792899743895
0.007,3.343339736136463,9.01079967464739,5.704817006240718,5.026259510033407,5.767146991135044,5.094606158766354
0.008,2.6391950317354,5.30916695269522,4.159679108129399,5.034176432191258,5.876503143154863,5.110284393280088
0.009000000000000001,5.750890517014239,-0.7021488830697535,2.789941816513213,5.043102690289457,5.985862393336621,5.126520116742821
0.01,6.637181593248624,8.567568562198177,5.9515339298209815,5.0530283713410595,6.095244594790092,5.143319808865722
0.011,9.336431717813305,3.8173999829080816,4.131733127035718,5.06394385707905,6.204669257887623,5.160690300773105
0.012,4.667050006257209,6.970186051740549,3.420623378661376,5.075839816596177,6.314155554259014,5.178638771230723
0.013000000000000001,5.265629099219703,3.363666242720606,5.329154313812331,5.08870720199844,6.423722316456097,5.197172742762536
0.014,4.486848076306438,11.649291640548247,5.445202077248236,5.102537240074237,6.533388042004333,5.216300077878751
0.015,5.231995540355917,6.1588595448950265,7.5527522974536625,5.117321427936011,6.6431708938331,5.2360289762933245
0.016,6.484689444382204,7.9589112465579,4.3158443296155715,5.133051526361041,6.753088701560353,5.256367971441771
0.017,2.6511215708095643,10.153659037982383,5.662205425733062,5.149719553220137,6.863158964277932,5.277325928179839
0.018000000000000002,4.727222723510307,8.54913672905039,4.298745023161336,5.16731777935023,6.973398849314372,5.298912040103987
0.019,3.616046453480209,8.387295528369787,2.227859519875678,5.185838720607365,7.083825195174046,5.321135827271296
0.02,5.541335862517608,7.799692478878617,7.021042450056652,5.205275133795695,7.194454511218064,5.344007134459899
0.021,5.433484613988197,11.612620934162447,5.476308960641344,5.225620010577747,7.305302977475165,5.367536128994333
0.022,7.153665611034839,5.440101272134635,5.619213227553685,5.24686657091155,7.416386446684748,5.391733299498272
0.023,4.440517880199935,6.368857362906647,5.534995415494367,5.269008259412624,7.527720442050519,5.41660945425765
0.024,3.573379491748166,10.405881500845405,5.424461255996677,5.29203873787587,7.6393201584179735,5.442175720001538
0.025,4.822104530747138,9.32537260592889,4.807367087651772,5.315951880853689,7.751200461909865,5.468443541052819
0.026000000000000002,7.793414088242015,12.01502897802639,-0.25670835046621576,5.340741770814526,7.863375887575678,5.495424678068241
0.027,4.383017065381056,5.962194677465035,6.195452190841783,5.366402690976259,7.975860640551605,5.523131207607774
0.028,5.101455229551608,11.129522192156916,2.8693854236044554,5.392929122043689,8.088668593457951,5.551575521343885
0.029,4.035418127100084,4.391933201086211,4.210727488030107,5.420315735763773,8.201813284758614,5.580770325477306
0.03,6.947677629417908,8.882577932963818,6.285661207618765,5.448557389385697,8.315307918698545,5.610728640678133
0.031,5.452171219202909,7.44717018825947,7.269460105036689,5.477649122096612,8.42916536125034,5.641463801388131
0.032,8.271496212708852,7.218783685293047,5.867380087531826,5.50758614787439,8.543398138978405,5.6729894559174925
0.033,6.867331189355544,12.345941298686304,6.4263577799402185,5.538363851335803,8.65801843725112,5.705319566415295
0.034,5.638072101560611,13.898592983396902,4.383753300898655,5.569977783396888,8.773038095551804,5.738468408451988
0.035,2.2132457676244712,2.9980065338845474,4.620665269738636,5.6024236541592005,8.888468606137778,5.772450571548794
0.036000000000000004,2.144534174043777,13.55493740433512,4.210957946982464,5.63569732963985,9.004321110616251,5.807280959053159
0.037,4.383655448057051,9.43560061732378,5.9386679924137535,5.669794826414458,9.120606394919346,5.842974788091644
0.038,8.08105420313024,8.76562313042537,7.687172518436382,5.704712305232236,9.237334887342223,5.87954759025005
0.039,4.947704835508879,13.531754812980033,4.839473421719238,5.740446067927562,9.354516653653864,5.917015211355324
0.04,3.675113734192753,7.086280176688721,8.413394965696122,5.776992551289247,9.472161391689653,5.9553938117368865
0.041,6.6842225868632035,9.494202731690986,-0.197025188507296,5.81434832151262,9.590278428646881,5.994699866870307
0.042,5.726402919364679,10.435753425710763,7.432104820825522,5.852510070916668,9.70887671485528,6.0349501670700505
0.043000000000000003,6.50194934669933,13.645303920137371,6.835069222079177,5.891474611360374,9.827964817827946,6.076161817911113
0.044,6.4060473832541796,4.363849805871802,9.298729256352999,5.931238869333918,9.947550918786346,6.1183522407388935
0.045,3.9520622807692356,7.193085955208881,10.086490381431833,5.971799882383856,10.06764280522463,6.161539172234436
0.046,6.6203870848361825,9.855129481750021,8.091754709908678,6.013154792287546,10.188247864193217,6.205740664819956
0.047,7.636277612280664,10.733422722424304,6.956956983820182,6.055300840530915,10.309373078082029,6.250975086986942
0.048,6.700609193234882,11.02992534618554,4.224349387195824,6.098235364474961,10.43102501610666,6.297261122655936
0.049,2.7001150862595598,7.153105195982759,7.041326816578475,6.141955790394361,10.553209826580472,6.3446177713826115
0.05,6.388870689536473,11.596942723304444,9.123329319862684,6.1864596291118215,10.675933232000268,6.3930643484736525
0.051000000000000004,4.96792728482371,3.8913428202636524,9.020604248977254,6.231744471984287,10.799200519587759,6.442620484044056
0.052000000000000005,8.551096494208117,9.168804434023064,2.8924676777776948,6.277807983859081,10.923016532323032,6.4933061228319
0.053,8.549473522601438,5.480604591943391,4.679373999500193,6.324647898650601,11.047385663321286,6.5451415240655075
0.054,9.38863261065918,9.796296366394072,4.2559943046874436,6.372262015238509,11.172311845628277,6.598147260129667
0.055,9.373957550588106,11.921280465068007,7.518479431167091,6.420648190390927,11.297798541825001,6.652344215782546
0.056,6.24525179651558,13.656393833371023,5.2723252876341045,6.469804334050379,11.42384873753417,6.707753587700398
0.057,2.0651962846310976,11.556646973230473,5.5660085161360495,6.519728405245777,11.55046493081034,6.764396882707003
0.058,5.568038596098193,13.850200281690853,10.188584558104623,6.570418405064129,11.67764912019445,6.822295916176859
